Data;acd;pesid2;gravidade
02/07/2018;126;23;18,25396825
02/07/2019;131;12;9,160305344
02/07/2020;126;15;11,9047619
02/08/2007;102;16;15,68627451
02/08/2008;150;19;12,66666667
02/08/2009;197;43;21,82741117
02/08/2010;156;13;8,333333333
02/08/2011;128;12;9,375
02/08/2012;149;15;10,06711409
02/08/2013;193;17;8,808290155
02/08/2014;233;29;12,44635193
02/08/2015;210;28;13,33333333
02/08/2016;148;15;10,13513514
02/08/2017;134;13;9,701492537
02/08/2018;150;20;13,33333333
02/08/2019;153;13;8,496732026
02/08/2020;178;36;20,2247191
02/09/2007;179;35;19,55307263
02/09/2008;127;13;10,23622047
02/09/2009;161;24;14,9068323
02/09/2010;158;12;7,594936709
02/09/2011;211;19;9,004739336
02/09/2012;225;31;13,77777778
02/09/2013;200;20;10
02/09/2014;160;15;9,375
02/09/2015;123;26;21,13821138
02/09/2016;158;13;8,227848101
02/09/2017;210;41;19,52380952
02/09/2018;169;36;21,30177515
02/09/2019;131;12;9,160305344
02/09/2020;150;10;6,666666667
02/10/2007;116;14;12,06896552
02/10/2008;164;18;10,97560976
02/10/2009;184;41;22,2826087
02/10/2010;227;28;12,33480176
02/10/2011;274;46;16,78832117
02/10/2012;178;21;11,79775281
02/10/2013;167;19;11,37724551
02/10/2014;156;12;7,692307692
02/10/2015;177;18;10,16949153
02/10/2016;204;25;12,25490196
02/10/2017;173;17;9,826589595
02/10/2018;127;9;7,086614173
02/10/2019;145;6;4,137931034
02/10/2020;182;27;14,83516484
02/11/2007;194;25;12,88659794
02/11/2008;185;32;17,2972973
02/11/2009;170;20;11,76470588
02/11/2010;182;21;11,53846154
02/11/2011;178;22;12,35955056
02/11/2012;238;33;13,86554622
02/11/2013;222;27;12,16216216
02/11/2014;216;32;14,81481481
02/11/2015;167;21;12,5748503
02/11/2016;137;15;10,94890511
02/11/2017;120;16;13,33333333
02/11/2018;128;22;17,1875
02/11/2019;170;15;8,823529412
02/11/2020;158;30;18,98734177
02/12/2007;208;33;15,86538462
02/12/2008;126;16;12,6984127
02/12/2009;135;17;12,59259259
02/12/2010;177;11;6,214689266
02/12/2011;215;38;17,6744186
02/12/2012;250;35;14
02/12/2013;202;21;10,3960396
02/12/2014;143;16;11,18881119
02/12/2015;151;12;7,947019868
02/12/2016;162;18;11,11111111
02/12/2017;201;27;13,43283582
02/12/2018;168;27;16,07142857
02/12/2019;137;10;7,299270073
02/12/2020;122;11;9,016393443
03/01/2007;135;10;7,407407407
03/01/2008;127;13;10,23622047
03/01/2009;179;43;24,02234637
03/01/2010;224;30;13,39285714
03/01/2011;219;31;14,15525114
03/01/2012;154;18;11,68831169
03/01/2013;131;21;16,03053435
03/01/2014;207;20;9,661835749
03/01/2015;198;30;15,15151515
03/01/2016;210;15;7,142857143
03/01/2017;147;27;18,36734694
03/01/2018;144;11;7,638888889
03/01/2019;132;13;9,848484848
03/01/2020;172;21;12,20930233
03/02/2007;181;31;17,12707182
03/02/2008;171;29;16,95906433
03/02/2009;127;26;20,47244094
03/02/2010;149;12;8,053691275
03/02/2011;172;23;13,37209302
03/02/2012;229;16;6,986899563
03/02/2013;218;31;14,22018349
03/02/2014;166;13;7,831325301
03/02/2015;142;12;8,450704225
03/02/2016;146;14;9,589041096
03/02/2017;189;18;9,523809524
03/02/2018;178;31;17,41573034
03/02/2019;174;22;12,64367816
03/02/2020;151;8;5,298013245
03/03/2007;140;14;10
03/03/2008;112;8;7,142857143
03/03/2009;133;17;12,78195489
03/03/2010;156;16;10,25641026
03/03/2011;194;18;9,278350515
03/03/2012;244;29;11,8852459
03/03/2013;203;26;12,80788177
03/03/2014;137;14;10,2189781
03/03/2015;131;7;5,34351145
03/03/2016;143;19;13,28671329
03/03/2017;132;11;8,333333333
03/03/2018;162;20;12,34567901
03/03/2019;171;14;8,187134503
03/03/2020;143;11;7,692307692
03/04/2007;127;13;10,23622047
03/04/2008;108;4;3,703703704
03/04/2009;167;16;9,580838323
03/04/2010;179;20;11,17318436
03/04/2011;220;30;13,63636364
03/04/2012;165;21;12,72727273
03/04/2013;156;12;7,692307692
03/04/2014;179;20;11,17318436
03/04/2015;164;26;15,85365854
03/04/2016;189;16;8,465608466
03/04/2017;139;18;12,94964029
03/04/2018;137;11;8,02919708
03/04/2019;123;11;8,943089431
03/04/2020;94;15;15,95744681
03/05/2007;116;13;11,20689655
03/05/2008;141;9;6,382978723
03/05/2009;177;28;15,81920904
03/05/2010;182;15;8,241758242
03/05/2011;161;22;13,66459627
03/05/2012;144;17;11,80555556
03/05/2013;214;16;7,476635514
03/05/2014;186;19;10,21505376
03/05/2015;210;25;11,9047619
03/05/2016;127;13;10,23622047
03/05/2017;134;6;4,47761194
03/05/2018;131;17;12,97709924
03/05/2019;160;29;18,125
03/05/2020;123;19;15,44715447
03/06/2007;207;27;13,04347826
03/06/2008;122;20;16,39344262
03/06/2009;149;14;9,395973154
03/06/2010;202;37;18,31683168
03/06/2011;235;19;8,085106383
03/06/2012;223;45;20,1793722
03/06/2013;194;9;4,639175258
03/06/2014;180;22;12,22222222
03/06/2015;179;23;12,84916201
03/06/2016;189;21;11,11111111
03/06/2017;187;30;16,04278075
03/06/2018;164;29;17,68292683
03/06/2019;151;23;15,23178808
03/06/2020;100;18;18
03/07/2007;122;10;8,196721311
03/07/2008;124;13;10,48387097
03/07/2009;201;21;10,44776119
03/07/2010;200;25;12,5
03/07/2011;232;35;15,0862069
03/07/2012;162;26;16,04938272
03/07/2013;128;12;9,375
03/07/2014;143;24;16,78321678
03/07/2015;169;18;10,65088757
03/07/2016;192;38;19,79166667
03/07/2017;149;17;11,40939597
03/07/2018;133;20;15,03759398
03/07/2019;123;1;0,81300813
03/07/2020;144;18;12,5
03/08/2007;137;33;24,08759124
03/08/2008;171;25;14,61988304
03/08/2009;131;13;9,923664122
03/08/2010;123;16;13,00813008
03/08/2011;166;10;6,024096386
03/08/2012;213;29;13,61502347
03/08/2013;247;32;12,95546559
03/08/2014;211;34;16,11374408
03/08/2015;173;12;6,936416185
03/08/2016;124;14;11,29032258
03/08/2017;125;11;8,8
03/08/2018;151;18;11,9205298
03/08/2019;176;17;9,659090909
03/08/2020;153;9;5,882352941
03/09/2007;117;16;13,67521368
03/09/2008;139;14;10,07194245
03/09/2009;140;15;10,71428571
03/09/2010;218;22;10,09174312
03/09/2011;271;43;15,86715867
03/09/2012;177;19;10,73446328
03/09/2013;147;13;8,843537415
03/09/2014;169;22;13,01775148
03/09/2015;172;26;15,11627907
03/09/2016;194;22;11,34020619
03/09/2017;198;19;9,595959596
03/09/2018;159;18;11,32075472
03/09/2019;131;10;7,633587786
03/09/2020;138;14;10,14492754
03/10/2007;112;14;12,5
03/10/2008;181;27;14,91712707
03/10/2009;205;29;14,14634146
03/10/2010;202;23;11,38613861
03/10/2011;212;37;17,45283019
03/10/2012;159;18;11,32075472
03/10/2013;168;11;6,547619048
03/10/2014;182;13;7,142857143
03/10/2015;170;23;13,52941176
03/10/2016;190;22;11,57894737
03/10/2017;141;11;7,80141844
03/10/2018;120;15;12,5
03/10/2019;121;16;13,2231405
03/10/2020;192;24;12,5
03/11/2007;151;20;13,24503311
03/11/2008;144;14;9,722222222
03/11/2009;167;18;10,77844311
03/11/2010;169;19;11,24260355
03/11/2011;169;23;13,60946746
03/11/2012;209;23;11,00478469
03/11/2013;207;35;16,90821256
03/11/2014;155;17;10,96774194
03/11/2015;153;12;7,843137255
03/11/2016;134;9;6,71641791
03/11/2017;131;16;12,21374046
03/11/2018;140;19;13,57142857
03/11/2019;157;24;15,2866242
03/11/2020;142;9;6,338028169
03/12/2007;136;10;7,352941176
03/12/2008;121;14;11,57024793
03/12/2009;165;32;19,39393939
03/12/2010;204;36;17,64705882
03/12/2011;252;64;25,3968254
03/12/2012;175;17;9,714285714
03/12/2013;170;16;9,411764706
03/12/2014;139;11;7,913669065
03/12/2015;148;10;6,756756757
03/12/2016;188;15;7,978723404
03/12/2017;184;23;12,5
03/12/2018;127;13;10,23622047
03/12/2019;121;11;9,090909091
03/12/2020;128;14;10,9375
04/01/2007;115;17;14,7826087
04/01/2008;133;15;11,27819549
04/01/2009;172;21;12,20930233
04/01/2010;185;19;10,27027027
04/01/2011;206;21;10,19417476
04/01/2012;152;16;10,52631579
04/01/2013;186;21;11,29032258
04/01/2014;203;27;13,30049261
04/01/2015;195;22;11,28205128
04/01/2016;185;15;8,108108108
04/01/2017;144;19;13,19444444
04/01/2018;161;20;12,42236025
04/01/2019;150;22;14,66666667
04/01/2020;149;12;8,053691275
04/02/2007;174;28;16,09195402
04/02/2008;124;14;11,29032258
04/02/2009;114;10;8,771929825
04/02/2010;156;21;13,46153846
04/02/2011;208;15;7,211538462
04/02/2012;236;27;11,44067797
04/02/2013;177;20;11,29943503
04/02/2014;144;16;11,11111111
04/02/2015;155;15;9,677419355
04/02/2016;137;11;8,02919708
04/02/2017;197;30;15,2284264
04/02/2018;157;21;13,37579618
04/02/2019;140;8;5,714285714
04/02/2020;132;16;12,12121212
04/03/2007;170;27;15,88235294
04/03/2008;104;8;7,692307692
04/03/2009;140;14;10
04/03/2010;142;11;7,746478873
04/03/2011;298;36;12,08053691
04/03/2012;235;40;17,0212766
04/03/2013;194;17;8,762886598
04/03/2014;192;27;14,0625
04/03/2015;170;18;10,58823529
04/03/2016;160;13;8,125
04/03/2017;142;18;12,67605634
04/03/2018;155;20;12,90322581
04/03/2019;131;16;12,21374046
04/03/2020;116;11;9,482758621
04/04/2007;138;18;13,04347826
04/04/2008;174;26;14,94252874
04/04/2009;187;26;13,90374332
04/04/2010;312;42;13,46153846
04/04/2011;205;19;9,268292683
04/04/2012;209;20;9,56937799
04/04/2013;150;12;8
04/04/2014;218;24;11,00917431
04/04/2015;168;20;11,9047619
04/04/2016;138;11;7,971014493
04/04/2017;133;10;7,518796992
04/04/2018;127;14;11,02362205
04/04/2019;131;18;13,74045802
04/04/2020;108;13;12,03703704
04/05/2007;130;15;11,53846154
04/05/2008;191;14;7,329842932
04/05/2009;125;13;10,4
04/05/2010;152;15;9,868421053
04/05/2011;162;17;10,49382716
04/05/2012;188;18;9,574468085
04/05/2013;237;32;13,5021097
04/05/2014;219;35;15,98173516
04/05/2015;176;16;9,090909091
04/05/2016;148;13;8,783783784
04/05/2017;134;17;12,68656716
04/05/2018;159;19;11,94968553
04/05/2019;159;27;16,98113208
04/05/2020;94;11;11,70212766
04/06/2007;116;18;15,51724138
04/06/2008;131;13;9,923664122
04/06/2009;134;15;11,19402985
04/06/2010;175;20;11,42857143
04/06/2011;243;39;16,04938272
04/06/2012;179;20;11,17318436
04/06/2013;149;18;12,08053691
04/06/2014;180;20;11,11111111
04/06/2015;175;14;8
04/06/2016;207;24;11,5942029
04/06/2017;193;26;13,47150259
04/06/2018;127;9;7,086614173
04/06/2019;138;11;7,971014493
04/06/2020;119;11;9,243697479
04/07/2007;113;16;14,15929204
04/07/2008;168;20;11,9047619
04/07/2009;219;30;13,69863014
04/07/2010;213;42;19,71830986
04/07/2011;159;19;11,94968553
04/07/2012;139;13;9,352517986
04/07/2013;184;31;16,84782609
04/07/2014;174;15;8,620689655
04/07/2015;219;34;15,52511416
04/07/2016;151;14;9,271523179
04/07/2017;143;13;9,090909091
04/07/2018;131;11;8,396946565
04/07/2019;120;7;5,833333333
04/07/2020;175;19;10,85714286
04/08/2007;195;34;17,43589744
04/08/2008;115;18;15,65217391
04/08/2009;133;15;11,27819549
04/08/2010;133;16;12,03007519
04/08/2011;178;20;11,23595506
04/08/2012;217;31;14,28571429
04/08/2013;253;30;11,85770751
04/08/2014;172;14;8,139534884
04/08/2015;126;16;12,6984127
04/08/2016;153;7;4,575163399
04/08/2017;186;17;9,139784946
04/08/2018;158;17;10,75949367
04/08/2019;177;27;15,25423729
04/08/2020;109;10;9,174311927
04/09/2007;123;15;12,19512195
04/09/2008;115;17;14,7826087
04/09/2009;230;19;8,260869565
04/09/2010;300;40;13,33333333
04/09/2011;263;33;12,54752852
04/09/2012;148;21;14,18918919
04/09/2013;227;21;9,251101322
04/09/2014;175;14;8
04/09/2015;221;24;10,85972851
04/09/2016;180;26;14,44444444
04/09/2017;155;15;9,677419355
04/09/2018;142;14;9,85915493
